RECORD_NUMBER,CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_SURNAME,CUSTOMER_ADDRESS,CUSTOMER_ZIP_CODE,CUSTOMER_NATIONAL_ID,CUSTOMER_BIRTH_DATE
1,111111,mandana,soleimaninia,montreal,22904407,0073302756,1981
2,111112,marzie,abbasi,tehran,26405728,0061544844,2012
3,111113,maryam,monhi,zanjan,22220447,0046675891,2010
4,111114,zahra,meimani,tehran,22908765,0083302764,2015
5,111115,najla,vafaie,rasht,22908364,0083387987,2015
6,111116,azade,nazemi,tehran,229508372,51467893,1999
7,111117,farzane,shekari,tabriz,44512376,0079983451,2012
8,111118,lili,shojaie,tehran,22906573,0061412376,2013
9,111119,ali,moradi,ghom,99876435,0032261789,2015
10,111110, ,khodai,kerman,33227766,0023304751,1998


